Zeit,Kanal A,Kanal B
(s),(mV),(V)

63.73336515,10.51363000,-0.00427259
63.86669855,10.30763000,-0.00732444
64.00003195,10.75777000,-0.01220740
64.13336535,10.49684000,-0.01525925
64.26669875,10.36409000,-0.00915555
64.40003215,10.75777000,-0.00732444
64.53336555,10.50600000,-0.00427259
64.66669895,10.39460000,-0.01648000
64.80003235,10.76388000,-0.01098666
64.93336575,10.52889000,-0.00671407
65.06669915,10.41292000,-0.00122074
65.20003255,10.76083000,-0.01037629
65.33336595,10.50447000,-0.01037629
65.46669935,10.40529000,-0.01525925
65.60003275,10.71505000,-0.00854518
65.73336615,10.45259000,-0.00793481
65.86669955,10.47090000,-0.00610370
66.00003295,10.74252000,-0.00793481
66.13336635,10.46022000,-0.01220740
66.26669975,10.49684000,-0.00732444
66.40003315,10.73489000,-0.00549333
66.53336655,10.44343000,-0.01403851
66.66669995,10.53499000,0.00610370
66.80003335,10.73794000,-0.00732444
66.93336675,10.39003000,-0.00854518
67.06670015,10.56246000,-0.01220740
67.20003355,10.73641000,-0.01403851
67.33336695,10.31983000,-0.00854518
67.46670035,10.58687000,-0.00549333
67.60003375,10.69826000,-0.00793481
67.73336715,10.29237000,-0.02746666
67.86670054,10.62960000,-0.00366222
68.00003394,10.73336000,-0.00854518
68.13336734,10.24354000,-0.01037629
68.26670074,10.64943000,-0.00854518
68.40003414,10.67690000,-0.00854518
68.53336754,10.16572000,-0.00610370
68.66670094,10.67537000,-0.00549333
68.80003434,10.68758000,-0.01159703
68.93336774,10.17487000,-0.00793481
69.06670114,10.66774000,-0.00610370
69.20003454,10.64638000,-0.01220740
69.33336794,10.13978000,0.00000000
69.46670134,10.73641000,-0.00732444
69.60003474,10.64333000,-0.00671407
69.73336814,10.16266000,0.00976592
69.86670154,10.73794000,0.00305185
70.00003494,10.61281000,-0.01648000
70.13336834,10.10926000,-0.00915555
70.26670174,10.71200000,-0.05066073
70.40003514,10.60823000,-0.01159703
70.53336854,10.08484000,-0.00610370
70.66670194,10.71047000,-0.01403851
70.80003534,10.58229000,-0.00305185
70.93336874,10.08484000,-0.00854518
71.06670214,10.71657000,-0.00671407
71.20003554,10.59297000,-0.00732444
